timeSecond,phase,arrivedStudents,windowQueues,totalQueuing,servingStudents,waitingForSeatStudents,diningStudents,actualSeatedTables,actualSeatedSeats,reservedOrOccupiedTables,reservedOrOccupiedSeats,lockedOnlySeats,leftNormally,balkedStudents,actualTableSeatGroups,tableReservationCounts
0,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
1,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
2,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
3,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
4,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
5,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
6,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
7,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
8,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
9,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
10,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
11,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
12,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
13,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
14,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
15,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
16,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
17,"午餐",0,"W1=0|W2=0|W3=0|W4=0|W5=0",0,0,0,0,0,0,0,0,0,0,0,"none","none"
